domain,registrar,creation_date,expiration_date,status,name_servers
0.org,"Name.com, Inc.",754722000,1891443216,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
1.org,"Name.com, Inc.",754722000,1891443342,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
2.org,"Name.com, Inc.",754722000,1891442641,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
3.org,"Name.com, Inc.",754722000,1891443238,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
4.org,"Name.com, Inc.",754722000,1891443495,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
5.org,"Name.com, Inc.",754722000,1891442654,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
6.org,"Name.com, Inc.",754722000,1891442781,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
7.org,"eNom, Inc.",754722000,1765212202,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""dns3.name-services.com"", ""dns5.name-services.com"", ""dns1.name-services.com"", ""dns2.name-services.com"", ""dns4.name-services.com""}"
8.org,"eNom, Inc.",754722000,1607445630,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""dns2.name-services.com"", ""dns1.name-services.com"", ""dns5.name-services.com"", ""dns3.name-services.com"", ""dns4.name-services.com""}"
9.org,"Name.com, Inc.",754722000,1891443035,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
a.org,"GoDaddy.com, LLC",754722000,1891443431,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""pdns10.domaincontrol.com"", ""pdns09.domaincontrol.com""}"
d.org,Public Interest Registry,754722000,1607447163,inactive https://icann.org/epp#inactive,"{""dnssec:""}"
e.org,Mesh Digital Limited,754722000,1765212005,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.domainmonster.com"", ""ns3.domainmonster.com"", ""ns1.domainmonster.com""}"
f.org,"GoDaddy.com, LLC",754722000,1891442949,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""pdns10.domaincontrol.com"", ""pdns09.domaincontrol.com""}"
g.org,"GoDaddy.com, LLC",754722000,1891442982,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""pdns10.domaincontrol.com"", ""pdns09.domaincontrol.com""}"
h.org,Public Interest Registry,754722000,1607446796,inactive https://icann.org/epp#inactive,"{""dnssec:""}"
