domain,registrar,creation_date,expiration_date,status,name_servers
v3.net,"GoDaddy.com, LLC",910674000,1667970000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.dsredirects.com"", ""ns2.dsredirects.com""}"
v4.net,"Alibaba Cloud Computing (Beijing) Co., Ltd.",920091600,1645938000,ok https://icann.org/epp#ok,"{""dns29.hichina.com"", ""dns30.hichina.com""}"
v5.net,"eName Technology Co., Ltd.",958387313,1747305713,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""f1g1ns1.dnspod.net"", ""f1g1ns2.dnspod.net""}"
v6.net,"GoDaddy.com, LLC",1027489555,1595569555,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns30.domaincontrol.com"", ""ns29.domaincontrol.com""}"
v7.net,"eName Technology Co., Ltd.",882248400,1608008400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""dns2.7258.com"", ""dns1.7258.com""}"
v8.net,Moniker Online Services LLC,857624400,1615093200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.dsredirection.com"", ""ns1.dsredirection.com""}"
v9.net,"eNom, LLC",893476800,1619236800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""dns3.name-services.com"", ""dns1.name-services.com"", ""dns2.name-services.com"", ""dns4.name-services.com"", ""dns5.name-services.com""}"
va.net,"Domain.com, LLC",802152000,1622606400,ok https://icann.org/epp#ok,"{""adns0.ctinetworks.com"", ""adns1.ctinetworks.com""}"
vc.net,"eName Technology Co., Ltd.",811742400,1789963200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
vd.net,"GoDaddy.com, LLC",875678400,1632974400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
ve.net,"GoDaddy.com, LLC",812088000,1632542400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
vf.net,"eNom, LLC",938264677,1853499875,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.undeveloped.com"", ""ns2.undeveloped.com""}"
vg.net,"eNom, LLC",921474000,1615780800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.smartname.com"", ""ns1.smartname.com""}"
vh.net,Hosting Concepts B.V. d/b/a Openprovider,827384400,1868846400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.smartgslb.com"", ""ns1.smartgslb.com""}"
vi.net,"eNom, LLC",893908800,1619668800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns4.vi.net"", ""ns5.vi.net""}"
vj.net,"Network Solutions, LLC",891752400,1901505600,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.ge6.com"", ""ns1.ge6.com""}"
vk.net,"Network Solutions, LLC",915598800,1609909200,ok https://icann.org/epp#ok,"{""ns-138.awsdns-17.com"", ""ns-762.awsdns-31.net"", ""ns-1962.awsdns-53.co.uk"", ""ns-1107.awsdns-10.org""}"
vl.net,"GoDaddy.com, LLC",831787200,1620792000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
vm.net,"Network Solutions, LLC",834552000,1623384000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns8.ns0.com"", ""ns554.pair.com""}"
vn.net,"REGISTER4LESS, INC.",865224000,1622520000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.r4l.com"", ""ns1.r4l.com""}"
vo.net,"eName Technology Co., Ltd.",863496000,1684036800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
vp.net,101domain GRS Limited,901080000,1595304000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.p28.dynect.net"", ""ns3.p28.dynect.net"", ""ns4.p28.dynect.net"", ""ns1.p28.dynect.net""}"
vq.net,"GoDaddy.com, LLC",920437200,1677819600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.parkingcrew.net"", ""ns2.parkingcrew.net""}"
vr.net,"GoDaddy.com, LLC",786344400,1606798800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""pdns06.domaincontrol.com"", ""pdns05.domaincontrol.com""}"
vs.net,"GoDaddy.com, LLC",841550400,1756612800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""vip1.alidns.com"", ""vip2.alidns.com""}"
vt.net,"Domain.com, LLC",892612800,1649908800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""adns0.ctinetworks.com"", ""adns1.ctinetworks.com""}"
vu.net,"Name.com, Inc.",952342610,1615030610,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns4qxz.name.com"", ""ns2fkr.name.com"", ""ns3hjx.name.com"", ""ns1bqx.name.com""}"
vv.net,"Network Solutions, LLC",823928400,1604266711,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.lamedelegation.net"", ""ns1.lamedelegation.net""}"
vw.net,"GoDaddy.com, LLC",846043200,1603339200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1-auth.sprintlink.net"", ""ns2.vw.com"", ""ns1.vw.com"", ""ns2-auth.sprintlink.net"", ""ns3-auth.sprintlink.net""}"
vx.net,Google LLC,871704000,1597464000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""cicada.vx.net"", ""spike.vx.net""}"
vy.net,"GoDaddy.com, LLC",943963031,1606737431,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
vz.net,Hetzner Online GmbH,901166400,1595390400,ok https://icann.org/epp#ok,"{""ns-1636.awsdns-12.co.uk"", ""ns-642.awsdns-16.net"", ""ns-121.awsdns-15.com"", ""ns-1428.awsdns-50.org""}"
w0.net,"GoDaddy.com, LLC",951999394,1614687394,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns49.domaincontrol.com"", ""ns50.domaincontrol.com""}"
w1.net,"CSC Corporate Domains, Inc.",814075200,1602993600,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""hearsay.earthlink.net"", ""rumor.earthlink.net"", ""speakeasy.earthlink.net""}"
w3.net,"GoDaddy.com, LLC",789454800,1672981200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
w4.net,"GoDaddy.com, LLC",886050000,1674882000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
w5.net,"GoDaddy.com, LLC",866952000,1798606799,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""dns4.name-services.com"", ""dns5.name-services.com"", ""dns2.name-services.com"", ""dns1.name-services.com"", ""dns3.name-services.com""}"
w6.net,Epik Inc.,993379267,1592995267,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns4.epik.com"", ""ns3.epik.com""}"
w7.net,"eName Technology Co., Ltd.",908510400,1634270400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
w8.net,"GoDaddy.com, LLC",892180800,1712635200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.parkingcrew.net"", ""ns2.parkingcrew.net""}"
w9.net,"OnlineNIC, Inc.",905659200,1662955200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns37.hostvn.net"", ""ns36.hostvn.net""}"
wb.net,"GoDaddy.com, LLC",910846800,1605070800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
wc.net,"Network Solutions, LLC",821941200,1737262800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""udns2.ultradns.net"", ""udns1.ultradns.net""}"
wd.net,"Register.com, Inc.",823582800,1612674000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.white-directory.com"", ""ns2.white-directory.com""}"
we.net,"GoDaddy.com, LLC",814939200,1666929600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.gridfast.net"", ""ns1.gridfast.net""}"
wf.net,"Network Solutions, LLC",797140800,1617768000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.wf.net"", ""ns1.wf.net""}"
wg.net,"Name.com, Inc.",864100800,1779336000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2dfg.name.com"", ""ns4dls.name.com"", ""ns1cvw.name.com"", ""ns3cfp.name.com""}"
wh.net,"GoDaddy.com, LLC",911365200,1605589200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
wi.net,"eNom, LLC",803016000,1591934400,ok https://icann.org/epp#ok,"{""ns1.wi.net"", ""ns4.wi.net"", ""ns3.wi.net"", ""ns2.wi.net""}"
wj.net,"Sea Wasp, LLC",820904400,1609822800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.bodis.com"", ""ns1.bodis.com""}"
wk.net,"Network Solutions, LLC",838785600,1627617600,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.wk.net"", ""ns2.wk.net"", ""ns4.wk.net"", ""ns3.wk.net""}"
wl.net,"Name.com, Inc.",807336000,1596254400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns4qxz.name.com"", ""ns2fkr.name.com"", ""ns3hjx.name.com"", ""ns1bqx.name.com""}"
wm.net,Ports Group AB,817794000,1606712400,ok https://icann.org/epp#ok,"{""ns1.imgmt.net"", ""ns2.imgmt.net"", ""ns.wm.net"", ""ns1.wm.net"", ""dns6.telia.com"", ""ns.imgmt.net"", ""ns2.wm.net""}"
wn.net,Epik Inc.,799905600,1620532800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.wn.net"", ""ns1.wn.net""}"
wo.net,Epik Inc.,1018375519,1712685919,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.dsredirects.com"", ""ns2.dsredirects.com""}"
wp.net,"eNom, LLC",942924947,1605699347,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""buy.internettraffic.com"", ""sell.internettraffic.com""}"
wr.net,"GoDaddy.com, LLC",817534800,1637989200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns08.domaincontrol.com"", ""ns07.domaincontrol.com""}"
ws.net,"CSC Corporate Domains, Inc.",864100800,1590033600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.parkingcrew.net"", ""ns2.parkingcrew.net""}"
wu.net,Epik Inc.,865310400,1591070400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.above.com"", ""ns1.above.com""}"
wv.net,"Domain.com, LLC",884926800,1610686800,ok https://icann.org/epp#ok,"{""adns0.ctinetworks.com"", ""adns1.ctinetworks.com""}"
ww.net,"Network Solutions, LLC",795330000,1679025600,ok https://icann.org/epp#ok,"{""venus.ns.cloudflare.com"", ""mario.ns.cloudflare.com""}"
wx.net,"OnlineNIC, Inc.",879483600,1668315600,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.domainmx.com"", ""ns1.domainmx.com""}"
wy.net,"eName Technology Co., Ltd.",878101200,1603857600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.51dns.com"", ""ns2.51dns.com""}"
