domain,registrar,creation_date,expiration_date,status,name_servers
nd.org,"DNC Holdings, Inc.",774590400,1595044800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
ne.org,"GoDaddy.com, LLC",907300800,1601524800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
nf.org,"Network Solutions, LLC",795157200,1615784400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""dns1335-1.nexcess.net"", ""dns1335-2.nexcess.net""}"
ng.org,Google LLC,864878400,1590638400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""dora.ns.cloudflare.com"", ""rob.ns.cloudflare.com""}"
nh.org,"GoDaddy.com, LLC",1336421513,1620418313,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
ni.org,Tucows Inc.,839563200,1596859200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""dns1.tibus.net"", ""dns2.tibus.net""}"
nj.org,"GoDaddy.com, LLC",808113600,1881028800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.us9.tmd.cloud"", ""ns2.us9.tmd.cloud""}"
nk.org,"GoDaddy.com, LLC",910846800,1605070800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
nl.org,Key-Systems GmbH,811137600,1600056000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns0.transip.net"", ""ns1.transip.nl"", ""ns2.transip.eu""}"
nm.org,"Network Solutions, LLC",589780800,1883534400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns11.dnsmadeeasy.com"", ""ns13.dnsmadeeasy.com"", ""ns10.dnsmadeeasy.com"", ""ns12.dnsmadeeasy.com"", ""ns14.dnsmadeeasy.com"", ""ns15.dnsmadeeasy.com""}"
nn.org,"Name.com, Inc.",798609600,1619236800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2gtx.name.com"", ""ns4ghm.name.com"", ""ns1bcp.name.com"", ""ns3nrz.name.com""}"
no.org,"GoDaddy.com, LLC",847429200,1604725200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""pdns04.domaincontrol.com"", ""pdns03.domaincontrol.com""}"
np.org,"Namesilo, LLC",1003766148,1855842948,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""sara.ns.cloudflare.com"", ""neil.ns.cloudflare.com""}"
nq.org,"GoDaddy.com, LLC",1336421514,1588882314,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.nq.org"", ""ns2.nq.org""}"
nr.org,"GoDaddy.com, LLC",898920000,1593144000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
ns.org,"NameCheap, Inc.",866520000,1813118400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""dns1.registrar-servers.com"", ""dns2.registrar-servers.com""}"
nt.org,"GoDaddy.com, LLC",911970000,1606194000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
nu.org,"Domain.com, LLC",800856000,1589947200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.dotster.com"", ""ns2.dotster.com""}"
nv.org,"Network Solutions, LLC",833688000,1622520000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns-90.awsdns-11.com"", ""ns-1020.awsdns-63.net"", ""ns-1895.awsdns-44.co.uk"", ""ns-1155.awsdns-16.org""}"
nw.org,"Network Solutions, LLC",817794000,1606712400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.worldwidedns.net"", ""ns1.worldwidedns.net"", ""ns3.worldwidedns.net""}"
nx.org,Epik Inc.,994847666,1594463666,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns4.epik.com"", ""ns3.epik.com""}"
ny.org,Uniregistrar Corp,866606400,1592366400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.venture.com"", ""ns2.venture.com""}"
nz.org,"GoDaddy.com, LLC",907732800,1601956800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns43.domaincontrol.com"", ""ns44.domaincontrol.com""}"
o0.org,"eNom, Inc.",952862483,1615550483,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns18.axc.nl"", ""ns17.axc.nl""}"
o1.org,"Namesilo, LLC",957265872,1588417872,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""504.ns1.above.com"", ""504.ns2.above.com""}"
o2.org,Tucows Inc.,873345600,1599105600,ok https://icann.org/epp#ok,"{""ns2.webtic.nl"", ""ns.webtic.nl""}"
o3.org,Moniker Online Services LLC,913352400,1607576400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns6.markmonitor.com"", ""ns1.markmonitor.com"", ""ns4.markmonitor.com"", ""ns3.markmonitor.com"", ""ns5.markmonitor.com"", ""ns2.markmonitor.com""}"
o4.org,"Namesilo, LLC",953467256,1616155256,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""504.ns1.above.com"", ""504.ns2.above.com""}"
o5.org,Moniker Online Services LLC,952949715,1615637715,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns3.ndsplitter.com"", ""ns1.ndsplitter.com"", ""ns2.ndsplitter.com""}"
o6.org,Tucows Inc.,942539682,1605314082,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""parking1.mdnsservice.com"", ""parking2.mdnsservice.com""}"
o7.org,"Namesilo, LLC",1336421519,1588882319,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.dnsowl.com"", ""ns3.dnsowl.com"", ""ns1.dnsowl.com""}"
o8.org,"NameCheap, Inc.",952516486,1615204486,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.undeveloped.com"", ""ns2.undeveloped.com""}"
o9.org,"NameCheap, Inc.",952949715,1868098515,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""dns1.registrar-servers.com"", ""dns2.registrar-servers.com""}"
oa.org,"eNom, Inc.",857278800,1835672400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""dns3.name-services.com"", ""dns1.name-services.com"", ""dns2.name-services.com"", ""dns4.name-services.com"", ""dns5.name-services.com""}"
ob.org,"GoDaddy.com, LLC",800510400,1589601600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""melissa.ns.cloudflare.com"", ""merlin.ns.cloudflare.com""}"
